"Facility Name","Facility ID","State","Fiscal Year","PSI 90 Composite Value","PSI 90 Composite Value Footnote","PSI 90 W Z Score","PSI 90 W Z Footnote","PSI 90 Start Date","PSI 90 End Date","CLABSI SIR","CLABSI SIR Footnote","CLABSI W Z Score","CLABSI W Z Footnote","CAUTI SIR","CAUTI SIR Footnote","CAUTI W Z Score","CAUTI W Z Footnote","SSI SIR","SSI SIR Footnote","SSI W Z Score","SSI W Z Footnote","CDI SIR","CDI SIR Footnote","CDI W Z Score","CDI W Z Footnote","MRSA SIR","MRSA SIR Footnote","MRSA W Z Score","MRSA W Z Footnote","HAI Measures Start Date","HAI Measures End Date","Total HAC Score","Total HAC Score Footnote","Payment Reduction","Payment Reduction Footnote"
YUMA REGIONAL MEDICAL CENTER,030013,AZ,2024,1.0446,,0.4233,,01/01/2021,06/30/2022,0.958,,0.2162,,1.676,,1.8285,,0.600,,-0.3639,,0.652,,0.5383,,0.267,,-0.9758,,01/01/2022,12/31/2022,0.2778,,No,
JOHN C. LINCOLN NORTH MOUNTAIN HOSPITAL,030014,AZ,2024,0.9595,,-0.2990,,01/01/2021,06/30/2022,0.383,,-0.7415,,0.718,,0.0392,,0.347,,-0.7748,,0.427,,-0.1362,,2.302,,2.2365,,01/01/2022,12/31/2022,0.0540,,No,
BANNER CASA GRANDE MEDICAL CENTER,030016,AZ,2024,0.8660,,-1.0926,,01/01/2021,06/30/2022,0.473,,-0.5916,,0.266,,-0.8050,,0.000,,-1.3383,,0.546,,0.2205,,0.000,,-1.3973,,01/01/2022,12/31/2022,-0.8341,,No,
VALLEYWISE HEALTH MEDICAL CENTER,030022,AZ,2024,0.8923,,-0.8692,,01/01/2021,06/30/2022,0.230,,-0.9963,,0.247,,-0.8405,,0.524,,-0.4873,,0.613,,0.4213,,1.568,,1.0778,,01/01/2022,12/31/2022,-0.2824,,No,
FLAGSTAFF MEDICAL CENTER,030023,AZ,2024,0.8484,,-1.2423,,01/01/2021,06/30/2022,0.223,,-1.0080,,0.000,,-1.3018,,0.000,,-1.3383,,0.238,,-0.7028,,0.239,,-1.0200,,01/01/2022,12/31/2022,-1.1022,,No,
ST. JOSEPH'S HOSPITAL AND MEDICAL CENTER,030024,AZ,2024,1.1766,,1.5443,,01/01/2021,06/30/2022,0.589,,-0.3984,,0.389,,-0.5753,,0.477,,-0.5636,,0.245,,-0.6818,,0.532,,-0.5575,,01/01/2022,12/31/2022,-0.2054,,No,
ABRAZO CENTRAL CAMPUS,030030,AZ,2024,1.0466,,0.4406,,01/01/2021,06/30/2022,0.881,,0.0880,,1.030,,0.6220,,0.000,,-1.3383,,0.409,,-0.1902,,2.240,,2.1386,,01/01/2022,12/31/2022,0.2934,,No,
CHANDLER REGIONAL MEDICAL CENTER,030036,AZ,2024,1.1580,,1.3867,,01/01/2021,06/30/2022,0.949,,0.2013,,0.786,,0.1662,,0.636,,-0.3054,,0.751,,0.8350,,0.800,,-0.1345,,01/01/2022,12/31/2022,0.3582,,No,
TEMPE ST LUKES HOSPITAL,030037,AZ,2024,0.9359,,-0.4990,,01/01/2021,06/30/2022,0.657,,-0.2851,,0.773,,0.1419,,N/A,13,N/A,5,0.340,,-0.3971,,N/A,13,N/A,5,01/01/2022,12/31/2022,-0.2598,,No,
HONORHEALTH SCOTTSDALE OSBORN MEDICAL CENTER,030038,AZ,2024,0.8634,,-1.1151,,01/01/2021,06/30/2022,0.996,,0.2795,,1.179,,0.9003,,1.888,,1.7280,,0.331,,-0.4240,,0.182,,-1.1100,,01/01/2022,12/31/2022,0.0431,,No,
CANYON VISTA MEDICAL CENTER,030043,AZ,2024,1.0321,,0.3175,,01/01/2021,06/30/2022,0.565,,-0.4384,,0.971,,0.5118,,N/A,13,N/A,5,1.055,,1.7464,,N/A,13,N/A,5,01/01/2022,12/31/2022,0.5343,,Yes,
KINGMAN REGIONAL MEDICAL CENTER,030055,AZ,2024,1.0265,,0.2700,,01/01/2021,06/30/2022,0.366,,-0.7698,,0.953,,0.4781,,0.000,,-1.3383,,0.213,,-0.7778,,1.012,,0.2002,,01/01/2022,12/31/2022,-0.3229,,No,
BANNER BOSWELL MEDICAL CENTER,030061,AZ,2024,0.9707,,-0.2038,,01/01/2021,06/30/2022,0.632,,-0.3268,,0.789,,0.1718,,0.654,,-0.2762,,0.935,,1.3866,,1.481,,0.9405,,01/01/2022,12/31/2022,0.2820,,No,
SUMMIT HEALTHCARE REGIONAL MEDICAL CENTER,030062,AZ,2024,0.9336,,-0.5187,,01/01/2021,06/30/2022,1.940,,1.8519,,0.458,,-0.4464,,0.000,,-1.3383,,1.697,,2.3099,,N/A,13,N/A,5,01/01/2022,12/31/2022,0.3717,,No,
BANNER - UNIVERSITY MEDICAL CENTER TUCSON CAMPUS,030064,AZ,2024,0.9606,,-0.2898,,01/01/2021,06/30/2022,1.061,,0.3878,,0.334,,-0.6780,,0.812,,-0.0196,,0.701,,0.6851,,0.870,,-0.0240,,01/01/2022,12/31/2022,0.0103,,No,
BANNER DESERT MEDICAL CENTER,030065,AZ,2024,1.0185,,0.2022,,01/01/2021,06/30/2022,1.160,,0.5527,,0.574,,-0.2297,,0.442,,-0.6205,,0.346,,-0.3791,,0.830,,-0.0871,,01/01/2022,12/31/2022,-0.0936,,No,
HAVASU REGIONAL MEDICAL CENTER,030069,AZ,2024,1.1875,,1.6371,,01/01/2021,06/30/2022,0.000,,-1.3794,,0.000,,-1.3018,,N/A,13,N/A,5,1.078,,1.8153,,4.371,,2.2744,,01/01/2022,12/31/2022,0.6091,,Yes,
FORT DEFIANCE INDIAN HOSPITAL,030071,AZ,2024,0.9786,,-0.1371,,01/01/2021,06/30/2022,N/A,13,N/A,5,N/A,13,N/A,5,N/A,13,N/A,5,0.290,,-0.5469,,N/A,13,N/A,5,01/01/2022,12/31/2022,-0.3420,,No,
TUBA CITY REGIONAL HEALTH CARE CORPORATION,030073,AZ,2024,1.0857,,0.7723,,01/01/2021,06/30/2022,N/A,13,N/A,5,N/A,13,N/A,5,N/A,13,N/A,5,1.680,,2.3099,,N/A,13,N/A,5,01/01/2022,12/31/2022,1.5411,,Yes,
SELLS HOSPITAL,030074,AZ,2024,N/A,13,N/A,5,01/01/2021,06/30/2022,N/A,18,2.2883,18,N/A,18,2.3067,18,N/A,18,2.1665,18,N/A,18,2.3099,18,N/A,18,2.2744,18,01/01/2022,12/31/2022,2.2692,18,Yes,
PHOENIX INDIAN MEDICAL CENTER,030078,AZ,2024,0.9886,,-0.0522,,01/01/2021,06/30/2022,N/A,13,N/A,5,N/A,13,N/A,5,N/A,13,N/A,5,1.699,,2.3099,,N/A,13,N/A,5,01/01/2022,12/31/2022,1.1289,,Yes,
ABRAZO SCOTTSDALE CAMPUS,030083,AZ,2024,1.0274,,0.2781,,01/01/2021,06/30/2022,1.898,,1.7819,,0.000,,-1.3018,,N/A,13,N/A,5,0.855,,1.1468,,N/A,13,N/A,5,01/01/2022,12/31/2022,0.4762,,Yes,
CHINLE COMPREHENSIVE HEALTH CARE FACILITY,030084,AZ,2024,0.9823,,-0.1054,,01/01/2021,06/30/2022,N/A,13,N/A,5,N/A,13,N/A,5,N/A,13,N/A,5,0.000,,-1.4163,,N/A,13,N/A,5,01/01/2022,12/31/2022,-0.7609,,No,
NORTHWEST MEDICAL CENTER,030085,AZ,2024,1.1807,,1.5797,,01/01/2021,06/30/2022,0.169,,-1.0980,,0.659,,-0.0710,,0.657,,-0.2713,,0.895,,1.2667,,0.000,,-1.3973,,01/01/2022,12/31/2022,0.0015,,No,
HONORHEALTH SCOTTSDALE SHEA MEDICAL CENTER,030087,AZ,2024,1.0860,,0.7752,,01/01/2021,06/30/2022,0.671,,-0.2618,,0.603,,-0.1756,,1.296,,0.7665,,0.216,,-0.7688,,0.996,,0.1749,,01/01/2022,12/31/2022,0.0851,,No,
BANNER BAYWOOD MEDICAL CENTER,030088,AZ,2024,0.8314,,-1.3866,,01/01/2021,06/30/2022,1.349,,0.8675,,0.660,,-0.0691,,0.835,,0.0178,,0.834,,1.0838,,1.559,,1.0636,,01/01/2022,12/31/2022,0.2628,,No,
BANNER THUNDERBIRD MEDICAL CENTER,030089,AZ,2024,1.1049,,0.9361,,01/01/2021,06/30/2022,1.080,,0.4195,,0.495,,-0.3773,,0.602,,-0.3606,,0.623,,0.4513,,0.647,,-0.3760,,01/01/2022,12/31/2022,0.1155,,No,
HONORHEALTH DEER VALLEY MEDICAL CENTER,030092,AZ,2024,0.9428,,-0.4412,,01/01/2021,06/30/2022,1.065,,0.3945,,0.845,,0.2764,,0.131,,-1.1256,,0.268,,-0.6129,,1.893,,1.5909,,01/01/2022,12/31/2022,0.0137,,No,
BANNER DEL E. WEBB MEDICAL CENTER,030093,AZ,2024,0.8466,,-1.2573,,01/01/2021,06/30/2022,0.697,,-0.2185,,0.863,,0.3100,,0.673,,-0.2453,,0.557,,0.2535,,0.457,,-0.6759,,01/01/2022,12/31/2022,-0.3056,,No,
ABRAZO ARROWHEAD HOSPITAL,030094,AZ,2024,1.1038,,0.9263,,01/01/2021,06/30/2022,0.143,,-1.1413,,0.238,,-0.8573,,0.193,,-1.0249,,0.412,,-0.1812,,0.000,,-1.3973,,01/01/2022,12/31/2022,-0.6126,,No,
WESTERN ARIZONA REGIONAL MEDICAL CENTER,030101,AZ,2024,0.9247,,-0.5946,,01/01/2021,06/30/2022,0.912,,0.1396,,0.707,,0.0187,,0.943,,0.1932,,0.761,,0.8650,,3.972,,2.2744,,01/01/2022,12/31/2022,0.4827,,Yes,
MAYO CLINIC HOSPITAL,030103,AZ,2024,0.8449,,-1.2720,,01/01/2021,06/30/2022,0.793,,-0.0586,,0.628,,-0.1289,,0.848,,0.0389,,0.394,,-0.2352,,0.692,,-0.3049,,01/01/2022,12/31/2022,-0.3268,,No,
BANNER HEART HOSPITAL,030105,AZ,2024,1.0320,,0.3165,,01/01/2021,06/30/2022,0.000,,-1.3794,,0.000,,-1.3018,,N/A,12,N/A,5,0.639,,0.4993,,N/A,13,N/A,5,01/01/2022,12/31/2022,-0.4664,,No,
ARIZONA SPINE AND JOINT HOSPITAL,030107,AZ,2024,0.8713,,-1.0481,,01/01/2021,06/30/2022,N/A,12,N/A,5,N/A,12,N/A,5,N/A,12,N/A,5,N/A,13,N/A,5,N/A,13,N/A,5,01/01/2022,12/31/2022,-1.0481,,No,
THE CORE INSTITUTE SPECIALTY HOSP,030108,AZ,2024,0.9210,,-0.6260,,01/01/2021,06/30/2022,N/A,13,N/A,5,N/A,13,N/A,5,N/A,12,N/A,5,N/A,13,N/A,5,N/A,13,N/A,5,01/01/2022,12/31/2022,-0.6260,,No,
ABRAZO WEST CAMPUS,030110,AZ,2024,0.9833,,-0.0969,,01/01/2021,06/30/2022,0.240,,-0.9797,,0.305,,-0.7322,,0.000,,-1.3383,,0.250,,-0.6669,,0.557,,-0.5180,,01/01/2022,12/31/2022,-0.7220,,No,
BANNER-UNIVERSITY MEDICAL CENTER SOUTH CAMPUS,030111,AZ,2024,0.9136,,-0.6887,,01/01/2021,06/30/2022,0.000,,-1.3794,,0.161,,-1.0011,,0.819,,-0.0082,,0.672,,0.5982,,2.065,,1.8624,,01/01/2022,12/31/2022,-0.1028,,No,
ARIZONA ORTHOPEDIC AND SURGICAL SPECIALTY HOSPITAL,030112,AZ,2024,0.9411,,-0.4552,,01/01/2021,06/30/2022,N/A,13,N/A,5,N/A,13,N/A,5,N/A,12,N/A,5,N/A,13,N/A,5,N/A,13,N/A,5,01/01/2022,12/31/2022,-0.4552,,No,
WHITERIVER PHS INDIAN HOSPITAL,030113,AZ,2024,N/A,13,N/A,5,01/01/2021,06/30/2022,N/A,13,N/A,5,N/A,13,N/A,5,N/A,12,N/A,5,N/A,13,N/A,5,N/A,13,N/A,5,01/01/2022,12/31/2022,N/A,5,No,
ORO VALLEY HOSPITAL,030114,AZ,2024,0.9040,,-0.7700,,01/01/2021,06/30/2022,0.000,,-1.3794,,0.493,,-0.3810,,0.982,,0.2565,,0.398,,-0.2232,,N/A,13,N/A,5,01/01/2022,12/31/2022,-0.4994,,No,
BANNER ESTRELLA MEDICAL CENTER,030115,AZ,2024,1.0958,,0.8586,,01/01/2021,06/30/2022,1.544,,1.1923,,0.981,,0.5304,,0.632,,-0.3119,,0.446,,-0.0793,,2.637,,2.2744,,01/01/2022,12/31/2022,0.7441,,Yes,
VALLEY VIEW MEDICAL CENTER,030117,AZ,2024,0.9388,,-0.4747,,01/01/2021,06/30/2022,N/A,13,N/A,5,N/A,13,N/A,5,N/A,13,N/A,5,0.600,,0.3824,,N/A,13,N/A,5,01/01/2022,12/31/2022,-0.0462,,No,
MERCY GILBERT MEDICAL CENTER,030119,AZ,2024,1.1064,,0.9484,,01/01/2021,06/30/2022,0.797,,-0.0519,,1.152,,0.8498,,0.857,,0.0535,,0.112,,-1.0806,,0.384,,-0.7911,,01/01/2022,12/31/2022,-0.0120,,No,
"MOUNTAIN VISTA MEDICAL CENTER, LP",030121,AZ,2024,1.1042,,0.9300,,01/01/2021,06/30/2022,0.738,,-0.1502,,0.775,,0.1457,,0.000,,-1.3383,,0.312,,-0.4810,,3.050,,2.2744,,01/01/2022,12/31/2022,0.2301,,No,
BANNER GATEWAY MEDICAL CENTER,030122,AZ,2024,1.0126,,0.1522,,01/01/2021,06/30/2022,1.191,,0.6043,,N/A,13,N/A,5,1.242,,0.6788,,0.417,,-0.1662,,0.644,,-0.3807,,01/01/2022,12/31/2022,0.1777,,No,
HONORHEALTH SCOTTSDALE THOMPSON PEAK MED CTR,030123,AZ,2024,0.7989,,-1.5902,,01/01/2021,06/30/2022,1.708,,1.4655,,0.624,,-0.1364,,0.701,,-0.1998,,0.698,,0.6762,,0.000,,-1.3973,,01/01/2022,12/31/2022,-0.1970,,No,
BANNER IRONWOOD MEDICAL CENTER,030130,AZ,2024,0.9863,,-0.0712,,01/01/2021,06/30/2022,2.979,,2.2883,,1.575,,1.6399,,0.000,,-1.3383,,0.155,,-0.9516,,N/A,13,N/A,5,01/01/2022,12/31/2022,0.3134,,No,
O.A.S.I.S. HOSPITAL,030131,AZ,2024,0.8250,,-1.4408,,01/01/2021,06/30/2022,N/A,13,N/A,5,N/A,13,N/A,5,N/A,12,N/A,5,N/A,13,N/A,5,N/A,13,N/A,5,01/01/2022,12/31/2022,-1.4408,,No,
BANNER GOLDFIELD MEDICAL CENTER,030134,AZ,2024,0.9842,,-0.0895,,01/01/2021,06/30/2022,N/A,13,N/A,5,N/A,13,N/A,5,N/A,13,N/A,5,N/A,13,N/A,5,N/A,13,N/A,5,01/01/2022,12/31/2022,-0.0895,,No,
DIGNITY HEALTH - ARIZONA GENERAL HOSPITAL,030136,AZ,2024,0.9953,,0.0048,,01/01/2021,06/30/2022,N/A,13,N/A,5,N/A,13,N/A,5,N/A,13,N/A,5,N/A,13,N/A,5,N/A,13,N/A,5,01/01/2022,12/31/2022,0.0048,,No,
WESTERN REGIONAL MEDICAL CENTER,030138,AZ,2024,1.0055,,0.0920,,01/01/2021,06/30/2022,N/A,12,N/A,5,N/A,12,N/A,5,0.325,,-0.8105,,0.677,,0.6132,,N/A,13,N/A,5,01/01/2022,12/31/2022,-0.0351,,No,
DIGNITY HEALTH ARIZONA GENERAL HOSPITAL,030139,AZ,2024,0.9663,,-0.2415,,01/01/2021,06/30/2022,N/A,13,N/A,5,N/A,13,N/A,5,N/A,13,N/A,5,0.374,,-0.2951,,N/A,13,N/A,5,01/01/2022,12/31/2022,-0.2683,,No,
HONORHEALTH SONORAN CROSSING MEDICAL CENTER,030146,AZ,2024,0.9227,,-0.6118,,01/01/2021,06/30/2022,N/A,13,N/A,5,N/A,13,N/A,5,0.528,,-0.4808,,0.000,,-1.4163,,N/A,13,N/A,5,01/01/2022,12/31/2022,-0.8363,,No,
BANNER OCOTILLO MEDICAL CENTER,030147,AZ,2024,1.1131,,1.0056,,01/01/2021,06/30/2022,N/A,13,N/A,5,N/A,13,N/A,5,N/A,13,N/A,5,0.568,,0.2864,,N/A,13,N/A,5,01/01/2022,12/31/2022,0.6460,,Yes,
NORTHWEST MEDICAL CENTER SAHUARITA,030148,AZ,2024,1.0155,,0.1769,,01/01/2021,06/30/2022,N/A,13,N/A,5,N/A,13,N/A,5,N/A,13,N/A,5,0.000,,-1.4163,,N/A,13,N/A,5,01/01/2022,12/31/2022,-0.6197,,No,
EXCEPTIONAL COMMUNITY HOSPITAL - MARICOPA,030152,AZ,2024,N/A,5,N/A,5,01/01/2021,06/30/2022,N/A,5,N/A,5,N/A,5,N/A,5,N/A,5,N/A,5,N/A,5,N/A,5,N/A,5,N/A,5,01/01/2022,12/31/2022,N/A,5,No,
EAST VALLEY ER & HOSPITAL,030153,AZ,2024,N/A,5,N/A,5,01/01/2021,06/30/2022,N/A,5,N/A,5,N/A,5,N/A,5,N/A,5,N/A,5,N/A,5,N/A,5,N/A,5,N/A,5,01/01/2022,12/31/2022,N/A,5,No,
YUMA COMMUNITY HOSPITAL,030154,AZ,2024,N/A,5,N/A,5,01/01/2021,06/30/2022,N/A,5,N/A,5,N/A,5,N/A,5,N/A,5,N/A,5,N/A,5,N/A,5,N/A,5,N/A,5,01/01/2022,12/31/2022,N/A,5,No,
SILOAM SPRINGS REGIONAL HOSPITAL,040001,AR,2024,0.9392,,-0.4713,,01/01/2021,06/30/2022,N/A,13,N/A,5,N/A,13,N/A,5,0.000,,-1.3383,,0.000,,-1.4163,,N/A,13,N/A,5,01/01/2022,12/31/2022,-1.0753,,No,
JOHNSON REGIONAL MEDICAL CENTER,040002,AR,2024,0.9648,,-0.2541,,01/01/2021,06/30/2022,N/A,13,N/A,5,N/A,13,N/A,5,N/A,13,N/A,5,0.000,,-1.4163,,N/A,13,N/A,5,01/01/2022,12/31/2022,-0.8352,,No,
WASHINGTON REGIONAL MEDICAL CENTER,040004,AR,2024,0.8350,,-1.3566,,01/01/2021,06/30/2022,1.084,,0.4261,,0.360,,-0.6294,,0.362,,-0.7504,,0.290,,-0.5469,,0.795,,-0.1424,,01/01/2022,12/31/2022,-0.4999,,No,
CHI-ST VINCENT INFIRMARY,040007,AR,2024,1.2968,,2.3062,,01/01/2021,06/30/2022,1.200,,0.6193,,0.357,,-0.6351,,0.523,,-0.4889,,0.365,,-0.3221,,0.486,,-0.6301,,01/01/2022,12/31/2022,0.1416,,No,
MERCY HOSPITAL NORTHWEST ARKANSAS,040010,AR,2024,0.8233,,-1.4557,,01/01/2021,06/30/2022,0.698,,-0.2168,,0.550,,-0.2746,,1.554,,1.1855,,0.461,,-0.0343,,0.000,,-1.3973,,01/01/2022,12/31/2022,-0.3655,,No,
CHAMBERS MEMORIAL HOSPITAL,040011,AR,2024,N/A,13,N/A,5,01/01/2021,06/30/2022,N/A,13,N/A,5,N/A,13,N/A,5,N/A,12,N/A,5,N/A,13,N/A,5,N/A,13,N/A,5,01/01/2022,12/31/2022,N/A,5,No,
WHITE COUNTY MEDICAL CENTER,040014,AR,2024,1.0159,,0.1798,,01/01/2021,06/30/2022,0.000,,-1.3794,,0.633,,-0.1195,,0.000,,-1.3383,,0.505,,0.0976,,0.527,,-0.5654,,01/01/2022,12/31/2022,-0.5209,,No,
MENA REGIONAL HEALTH SYSTEM,040015,AR,2024,0.9872,,-0.0638,,01/01/2021,06/30/2022,N/A,13,N/A,5,N/A,13,N/A,5,N/A,13,N/A,5,1.625,,2.3099,,N/A,13,N/A,5,01/01/2022,12/31/2022,1.1231,,Yes,
UAMS MEDICAL CENTER,040016,AR,2024,1.1180,,1.0473,,01/01/2021,06/30/2022,1.470,,1.0691,,0.918,,0.4128,,0.958,,0.2176,,0.517,,0.1336,,1.207,,0.5080,,01/01/2022,12/31/2022,0.5647,,Yes,
NORTH ARKANSAS REGIONAL MEDICAL CENTER,040017,AR,2024,0.9334,,-0.5209,,01/01/2021,06/30/2022,N/A,13,N/A,5,N/A,13,N/A,5,N/A,11,2.1665,11,N/A,11,2.3099,11,N/A,11,2.2744,11,01/01/2022,12/31/2022,1.5575,,Yes,
BAPTIST HEALTH - VAN BUREN,040018,AR,2024,N/A,13,N/A,5,01/01/2021,06/30/2022,N/A,13,N/A,5,N/A,13,N/A,5,N/A,13,N/A,5,N/A,13,N/A,5,N/A,13,N/A,5,01/01/2022,12/31/2022,N/A,5,No,
FORREST CITY MEDICAL CENTER,040019,AR,2024,0.9794,,-0.1300,,01/01/2021,06/30/2022,N/A,13,N/A,5,N/A,13,N/A,5,N/A,13,N/A,5,N/A,13,N/A,5,N/A,13,N/A,5,01/01/2022,12/31/2022,-0.1300,,No,
ST BERNARDS MEDICAL CENTER,040020,AR,2024,1.2276,,1.9779,,01/01/2021,06/30/2022,0.239,,-0.9814,,0.436,,-0.4875,,1.608,,1.2732,,0.632,,0.4783,,1.153,,0.4228,,01/01/2022,12/31/2022,0.4472,,Yes,
NORTHWEST MEDICAL CENTER-SPRINGDALE,040022,AR,2024,0.8662,,-1.0914,,01/01/2021,06/30/2022,2.592,,2.2883,,1.225,,0.9862,,1.138,,0.5099,,0.119,,-1.0596,,0.279,,-0.9569,,01/01/2022,12/31/2022,0.1128,,No,
ST VINCENT HOT SPRINGS,040026,AR,2024,0.7478,,-1.5902,,01/01/2021,06/30/2022,0.222,,-1.0097,,0.101,,-1.1132,,0.862,,0.0616,,0.000,,-1.4163,,1.237,,0.5554,,01/01/2022,12/31/2022,-0.7521,,No,
BAXTER REGIONAL MEDICAL CENTER,040027,AR,2024,1.1636,,1.4346,,01/01/2021,06/30/2022,0.000,,-1.3794,,0.221,,-0.8891,,1.647,,1.3365,,0.623,,0.4513,,1.192,,0.4843,,01/01/2022,12/31/2022,0.2397,,No,
"CONWAY REGIONAL MEDICAL CENTER, INC",040029,AR,2024,1.2301,,1.9989,,01/01/2021,06/30/2022,1.387,,0.9308,,0.662,,-0.0654,,0.809,,-0.0244,,0.832,,1.0779,,0.956,,0.1118,,01/01/2022,12/31/2022,0.6716,,Yes,
BAPTIST HEALTH MEDICAL CENTER NORTH LITTLE ROCK,040036,AR,2024,1.2574,,2.2306,,01/01/2021,06/30/2022,0.548,,-0.4667,,0.696,,-0.0019,,1.491,,1.0832,,0.142,,-0.9906,,1.714,,1.3083,,01/01/2022,12/31/2022,0.5272,,Yes,
ARKANSAS METHODIST MEDICAL CENTER,040039,AR,2024,0.9441,,-0.4298,,01/01/2021,06/30/2022,N/A,13,N/A,5,0.000,,-1.3018,,N/A,13,N/A,5,0.242,,-0.6908,,N/A,13,N/A,5,01/01/2022,12/31/2022,-0.8075,,No,
ST MARYS REGIONAL MEDICAL CENTER,040041,AR,2024,1.0586,,0.5425,,01/01/2021,06/30/2022,4.794,,2.2883,,2.857,,2.3067,,N/A,13,N/A,5,0.294,,-0.5350,,N/A,13,N/A,5,01/01/2022,12/31/2022,1.1506,,Yes,
FIVE RIVERS MEDICAL CENTER,040047,AR,2024,N/A,13,N/A,5,01/01/2021,06/30/2022,N/A,13,N/A,5,N/A,13,N/A,5,N/A,18,2.1665,18,N/A,13,N/A,5,N/A,13,N/A,5,01/01/2022,12/31/2022,2.1665,18,Yes,
OUACHITA COUNTY MEDICAL CENTER,040050,AR,2024,0.9602,,-0.2930,,01/01/2021,06/30/2022,N/A,13,N/A,5,N/A,13,N/A,5,N/A,13,N/A,5,0.886,,1.2397,,N/A,13,N/A,5,01/01/2022,12/31/2022,0.4734,,Yes,
DREW MEMORIAL HEALTH SYSTEM,040051,AR,2024,0.9793,,-0.1312,,01/01/2021,06/30/2022,N/A,13,N/A,5,N/A,13,N/A,5,N/A,13,N/A,5,0.486,,0.0406,,N/A,13,N/A,5,01/01/2022,12/31/2022,-0.0453,,No,
BAPTIST HEALTH - FORT SMITH,040055,AR,2024,2.0120,,2.3062,,01/01/2021,06/30/2022,0.405,,-0.7049,,0.747,,0.0934,,1.538,,1.1595,,0.437,,-0.1063,,2.695,,2.2744,,01/01/2022,12/31/2022,0.8371,,Yes,
MERCY HOSPITAL FORT SMITH,040062,AR,2024,0.9655,,-0.2476,,01/01/2021,06/30/2022,0.609,,-0.3651,,0.559,,-0.2578,,0.944,,0.1948,,0.102,,-1.1105,,1.065,,0.2838,,01/01/2022,12/31/2022,-0.2504,,No,
MAGNOLIA HOSPITAL,040067,AR,2024,0.9722,,-0.1908,,01/01/2021,06/30/2022,N/A,13,N/A,5,N/A,13,N/A,5,N/A,12,N/A,5,0.000,,-1.4163,,N/A,13,N/A,5,01/01/2022,12/31/2022,-0.8035,,No,
GREAT RIVER MEDICAL CENTER,040069,AR,2024,1.1436,,1.2647,,01/01/2021,06/30/2022,N/A,13,N/A,5,N/A,13,N/A,5,N/A,13,N/A,5,0.000,,-1.4163,,N/A,13,N/A,5,01/01/2022,12/31/2022,-0.0758,,No,
JEFFERSON REGIONAL MEDICAL CENTER,040071,AR,2024,0.8843,,-0.9379,,01/01/2021,06/30/2022,2.017,,1.9802,,0.784,,0.1625,,1.456,,1.0263,,0.942,,1.4076,,0.897,,0.0187,,01/01/2022,12/31/2022,0.6096,,Yes,
BAPTIST HEALTH MEDICAL CENTER-STUTTGART,040072,AR,2024,N/A,13,N/A,5,01/01/2021,06/30/2022,N/A,13,N/A,5,N/A,13,N/A,5,N/A,13,N/A,5,N/A,13,N/A,5,N/A,13,N/A,5,01/01/2022,12/31/2022,N/A,5,No,
BAPTIST HEALTH MEDICAL CENTER-HOT SPRINGS COUNTY,040076,AR,2024,0.9862,,-0.0724,,01/01/2021,06/30/2022,N/A,13,N/A,5,N/A,13,N/A,5,N/A,13,N/A,5,N/A,13,N/A,5,N/A,13,N/A,5,01/01/2022,12/31/2022,-0.0724,,No,
NATIONAL PARK MEDICAL CENTER,040078,AR,2024,1.1922,,1.6773,,01/01/2021,06/30/2022,1.806,,1.6287,,1.139,,0.8256,,0.000,,-1.3383,,0.117,,-1.0656,,0.000,,-1.3973,,01/01/2022,12/31/2022,0.0551,,No,
SALINE MEMORIAL HOSPITAL,040084,AR,2024,0.8662,,-1.0916,,01/01/2021,06/30/2022,0.000,,-1.3794,,0.503,,-0.3624,,N/A,13,N/A,5,0.000,,-1.4163,,N/A,13,N/A,5,01/01/2022,12/31/2022,-1.0624,,No,
HELENA REGIONAL MEDICAL CENTER,040085,AR,2024,N/A,13,N/A,5,01/01/2021,06/30/2022,N/A,13,N/A,5,N/A,13,N/A,5,N/A,13,N/A,5,N/A,13,N/A,5,N/A,13,N/A,5,01/01/2022,12/31/2022,N/A,5,No,
MEDICAL CENTER OF SOUTH ARKANSAS,040088,AR,2024,0.9228,,-0.6106,,01/01/2021,06/30/2022,N/A,13,N/A,5,0.000,,-1.3018,,N/A,13,N/A,5,0.581,,0.3254,,N/A,13,N/A,5,01/01/2022,12/31/2022,-0.5290,,No,
BAPTIST HEALTH MEDICAL CENTER-LITTLE ROCK,040114,AR,2024,1.1872,,1.6350,,01/01/2021,06/30/2022,0.459,,-0.6149,,0.376,,-0.5996,,0.996,,0.2793,,0.211,,-0.7838,,1.719,,1.3162,,01/01/2022,12/31/2022,0.2054,,No,
"BAPTIST MEMORIAL HOSPITAL JONESBORO, INC.",040118,AR,2024,1.0318,,0.3153,,01/01/2021,06/30/2022,0.866,,0.0630,,0.174,,-0.9769,,0.275,,-0.8917,,0.604,,0.3944,,1.239,,0.5585,,01/01/2022,12/31/2022,-0.0896,,No,
WHITE RIVER MEDICAL CENTER,040119,AR,2024,1.7233,,2.3062,,01/01/2021,06/30/2022,1.203,,0.6243,,0.553,,-0.2690,,0.548,,-0.4483,,0.361,,-0.3341,,1.142,,0.4054,,01/01/2022,12/31/2022,0.3808,,Yes,
